section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-072_1_E1_RE_SEC-05_local,1,0.5,0.5,91.4,69.1,66.7
BU-072_1_E1_RE_SEC-05_local,2,1.0,0.5,76.8,62.3,63.2
BU-072_1_E1_RE_SEC-05_local,3,1.5,0.5,73.4,64.6,64.2
BU-072_1_E1_RE_SEC-05_local,4,2.0,0.5,70.0,56.9,53.6
BU-072_1_E1_RE_SEC-05_local,5,2.5,0.5,66.8,59.4,57.2
BU-072_1_E1_RE_SEC-05_local,6,3.0,0.5,65.2,53.2,51.3
BU-072_1_E1_RE_SEC-05_local,7,3.5,0.5,64.1,56.1,56.0
BU-072_1_E1_RE_SEC-05_local,8,4.0,0.5,62.5,59.2,60.9
BU-072_1_E1_RE_SEC-05_local,9,4.5,0.5,63.2,58.1,59.0
BU-072_1_E1_RE_SEC-05_local,10,5.0,0.5,62.1,62.6,59.9
BU-072_1_E1_RE_SEC-05_local,11,5.5,0.5,62.2,55.4,53.0
BU-072_1_E1_RE_SEC-05_local,12,6.0,0.5,61.9,64.5,62.8
BU-072_1_E1_RE_SEC-05_local,13,6.5,0.5,61.7,54.2,51.4
BU-072_1_E1_RE_SEC-05_local,14,7.0,0.5,61.2,61.9,60.6
BU-072_1_E1_RE_SEC-05_local,15,7.5,0.5,61.6,66.3,62.9
BU-072_1_E1_RE_SEC-05_local,16,8.0,0.5,62.1,57.7,53.4
BU-072_1_E1_RE_SEC-05_local,17,8.5,0.5,60.4,22.4,21.8
BU-072_1_E1_RE_SEC-05_local,18,9.0,0.5,58.6,41.8,42.6
BU-072_1_E1_RE_SEC-05_local,19,9.5,0.5,58.0,55.5,59.0
BU-072_1_E1_RE_SEC-05_local,20,10.0,0.5,58.0,38.5,39.0
BU-072_1_E1_RE_SEC-05_local,21,10.5,0.5,56.2,13.1,13.3
BU-072_1_E1_RE_SEC-05_local,22,11.0,0.5,54.6,24.3,22.4
BU-072_1_E1_RE_SEC-05_local,23,11.5,0.5,53.0,19.0,20.4
BU-072_1_E1_RE_SEC-05_local,24,12.0,0.5,51.6,19.2,18.2
BU-072_1_E1_RE_SEC-05_local,25,12.5,0.5,50.3,18.8,20.5
BU-072_1_E1_RE_SEC-05_local,26,13.0,0.5,49.4,33.1,34.7
BU-072_1_E1_RE_SEC-05_local,27,13.5,0.5,48.6,35.6,35.9
BU-072_1_E1_RE_SEC-05_local,28,14.0,0.5,48.2,33.3,32.5
BU-072_1_E1_RE_SEC-05_local,29,14.5,0.5,47.8,31.0,32.0
BU-072_1_E1_RE_SEC-05_local,30,15.0,0.5,47.1,38.5,37.3
