section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
WEM-60_1_E1_RE_SEC-04_local,1,0.2,0.5,157.3,110.1,115.6
WEM-60_1_E1_RE_SEC-04_local,2,0.4,0.5,112.3,67.5,69.3
WEM-60_1_E1_RE_SEC-04_local,3,0.6,0.5,92.2,67.0,59.5
WEM-60_1_E1_RE_SEC-04_local,4,0.8,0.5,86.8,58.7,68.1
WEM-60_1_E1_RE_SEC-04_local,5,1.0,0.5,80.5,57.9,49.7
WEM-60_1_E1_RE_SEC-04_local,6,1.2,0.5,75.3,57.7,55.0
WEM-60_1_E1_RE_SEC-04_local,7,1.4,0.5,73.4,63.7,66.5
WEM-60_1_E1_RE_SEC-04_local,8,1.6,0.5,72.6,64.7,63.9
WEM-60_1_E1_RE_SEC-04_local,9,1.8,0.5,71.3,60.0,59.4
WEM-60_1_E1_RE_SEC-04_local,10,2.0,0.5,69.9,59.1,58.5
WEM-60_1_E1_RE_SEC-04_local,11,2.2,0.5,68.9,57.4,58.3
WEM-60_1_E1_RE_SEC-04_local,12,2.4,0.5,67.8,54.8,53.2
WEM-60_1_E1_RE_SEC-04_local,13,2.6,0.5,66.5,54.1,54.1
WEM-60_1_E1_RE_SEC-04_local,14,2.8,0.5,65.9,57.9,57.4
WEM-60_1_E1_RE_SEC-04_local,15,3.0,0.5,65.2,63.6,64.4
WEM-60_1_E1_RE_SEC-04_local,16,3.2,0.5,65.5,67.3,67.8
WEM-60_1_E1_RE_SEC-04_local,17,3.4,0.5,65.5,65.7,63.8
WEM-60_1_E1_RE_SEC-04_local,18,3.6,0.5,65.5,72.4,69.5
WEM-60_1_E1_RE_SEC-04_local,19,3.8,0.5,66.0,75.2,79.0
WEM-60_1_E1_RE_SEC-04_local,20,4.0,0.5,66.7,65.2,64.0
WEM-60_1_E1_RE_SEC-04_local,21,4.2,0.5,66.0,52.4,49.9
WEM-60_1_E1_RE_SEC-04_local,22,4.4,0.5,65.3,46.9,47.9
WEM-60_1_E1_RE_SEC-04_local,23,4.6,0.5,64.4,41.1,40.5
WEM-60_1_E1_RE_SEC-04_local,24,4.8,0.5,63.3,47.7,39.8
WEM-60_1_E1_RE_SEC-04_local,25,5.0,0.5,62.7,68.3,79.8
WEM-60_1_E1_RE_SEC-04_local,26,5.2,0.5,63.8,84.9,88.7
WEM-60_1_E1_RE_SEC-04_local,27,5.4,0.5,64.6,76.5,76.6
WEM-60_1_E1_RE_SEC-04_local,28,5.6,0.5,64.6,65.4,65.4
WEM-60_1_E1_RE_SEC-04_local,29,5.8,0.5,64.6,63.6,61.6
WEM-60_1_E1_RE_SEC-04_local,30,6.0,0.5,64.5,60.9,62.3
WEM-60_1_E1_RE_SEC-04_local,31,6.2,0.5,64.3,63.3,64.6
WEM-60_1_E1_RE_SEC-04_local,32,6.4,0.5,64.5,58.4,55.9
WEM-60_1_E1_RE_SEC-04_local,33,6.6,0.5,63.9,48.1,48.5
WEM-60_1_E1_RE_SEC-04_local,34,6.8,0.5,63.4,56.1,52.2
WEM-60_1_E1_RE_SEC-04_local,35,7.0,0.5,63.4,63.2,65.8
WEM-60_1_E1_RE_SEC-04_local,36,7.2,0.5,63.5,64.5,63.5
WEM-60_1_E1_RE_SEC-04_local,37,7.4,0.5,63.3,65.4,63.9
WEM-60_1_E1_RE_SEC-04_local,38,7.6,0.5,63.5,63.2,63.8
WEM-60_1_E1_RE_SEC-04_local,39,7.8,0.5,63.4,55.1,56.1
WEM-60_1_E1_RE_SEC-04_local,40,8.0,0.5,63.1,57.4,53.3
